"id","product_style_id","image_url"
98,18,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a5ed79bc-bc2f-4fb2-8c19-4912f33002c2/kepa-kai-slides-jwXChS.png"
99,18,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/913283ef-b65d-4a23-910c-cbe3ad8f9690/kepa-kai-slides-jwXChS.png"
100,18,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/oqy9omwqcexj8smjtp54/kepa-kai-slides-jwXChS.png"
101,18,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/2e391443-ef4b-484b-9af1-dc4ae99a7195/kepa-kai-slides-jwXChS.png"
102,19,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/8ce3ac04-2bce-4899-bc53-5721facdf339/kepa-kai-slides-jwXChS.png"
103,19,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/4332ff54-600c-420b-9bdc-f078d916bc60/kepa-kai-slides-jwXChS.png"
104,19,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/bdc9e75b-b4aa-4223-8088-8caa4657bf61/kepa-kai-slides-jwXChS.png"
105,19,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/421cb738-c58c-42d2-95f6-0e9ba880d8c3/kepa-kai-slides-jwXChS.png"
106,20,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3e9e25e1-c7af-49bc-8c14-6b3896ef3f88/kepa-kai-slides-jwXChS.png"
107,20,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/482fd4bb-5a40-4007-9f35-5855c8febe05/kepa-kai-slides-jwXChS.png"
108,20,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/89810fa6-e0d1-4056-868f-4774e070c2ee/kepa-kai-slides-jwXChS.png"
109,20,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/01493226-71bf-4d04-8031-c5fd950f7f66/kepa-kai-slides-jwXChS.png"
110,21,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/f780eeec-c30d-426a-9a89-9e0a2ebee208/air-max-97-shoe-0Bz1rb.png"
111,21,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/55543a5e-7b7e-4c18-8324-fdcb74d385a9/air-max-97-shoe-0Bz1rb.png"
112,21,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/ad28f88e-2942-419b-8a34-4583f5c0591f/air-max-97-shoe-0Bz1rb.png"
113,21,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/bf680650-621f-435c-a74b-f4781a476b6c/air-max-97-shoe-0Bz1rb.png"
114,21,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/06ef831e-2660-46af-985c-41f7e3bdb7ca/air-max-97-shoe-0Bz1rb.png"
115,21,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/5f660a26-cac1-4cf4-aa6e-9d364175842c/air-max-97-shoe-0Bz1rb.png"
116,22,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/ab7c0cd5-2c29-4687-9dce-f0c361417b06/air-max-97-shoe-0Bz1rb.png"
117,22,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a0385be0-1888-4b0f-a010-146369abedce/air-max-97-shoe-0Bz1rb.png"
118,22,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/78b0094a-1df0-4175-aaaf-91fe08b51aba/air-max-97-shoe-0Bz1rb.png"
119,22,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/c97e74a0-05a3-492d-944f-c626632963da/air-max-97-shoe-0Bz1rb.png"
120,22,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/d9097b62-f06d-4065-9407-84f84b21f133/air-max-97-shoe-0Bz1rb.png"
121,22,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/b826714b-adde-4c12-9b7e-494f75066706/air-max-97-shoe-0Bz1rb.png"
122,24,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/2064f246-269f-41f6-979b-8beb84f7d4e9/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
123,24,"https://static.nike.com/a/videos/t_PDP_1280_v1/f_auto,q_auto:eco,so_1.1/b2ff924c-2548-4263-94f2-e3e715f2a5e9/air-zoom-tempo-next-road-running-shoes-chNfdw.jpg"
124,24,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/2c22e65b-eeb1-4c6b-92a5-fdb02bb700df/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
125,24,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/be42707d-b59f-4881-90bc-4d8fe65a4e87/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
126,24,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/12f74b61-5552-47a4-9744-c476633204fe/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
127,25,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/cc10ccfd-baeb-4e3f-bf16-8f94eff76e68/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
128,25,"https://static.nike.com/a/videos/t_PDP_1280_v1/f_auto,q_auto:eco,so_1.1/b2ff924c-2548-4263-94f2-e3e715f2a5e9/air-zoom-tempo-next-road-running-shoes-chNfdw.jpg"
129,25,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/89cfa9f3-f186-4a55-8698-3d29af5e08d3/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
130,25,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/0c9cdc04-c71e-485d-b247-b551c7786aa2/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
131,25,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/5a05ee60-b01f-46d2-9d15-5f1a6d817ac1/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
132,26,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/af64bd65-10f7-431c-ab81-e9d17f65096c/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
133,26,"https://static.nike.com/a/videos/t_PDP_1280_v1/f_auto,q_auto:eco,so_1.1/b2ff924c-2548-4263-94f2-e3e715f2a5e9/air-zoom-tempo-next-road-running-shoes-chNfdw.jpg"
134,26,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/17a24566-38ef-45a0-b1af-2bdcc57b6bf8/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
135,26,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/79c2e2ea-9472-49c2-a82e-0a3516d7540e/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
136,26,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/e7e5d2c4-5ea3-42ee-9e2c-1d9a1756302e/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
137,27,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3dd3fc28-7cd4-475b-b3f0-a302b16c1d3e/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
138,27,"https://static.nike.com/a/videos/t_PDP_1280_v1/f_auto,q_auto:eco,so_1.1/b2ff924c-2548-4263-94f2-e3e715f2a5e9/air-zoom-tempo-next-road-running-shoes-chNfdw.jpg"
139,27,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/d19d3dae-380d-4b2a-84a8-4c46bd8618f7/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
140,27,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/5d1ba18e-75c8-46aa-a3cf-17694ee74e0b/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
141,27,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/458f88a3-d126-4fd3-a97b-c04ddfc312f9/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
142,28,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/baa6afa0-7b40-46ac-8e79-0ed0beecdbf1/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
143,28,"https://static.nike.com/a/videos/t_PDP_1280_v1/f_auto,q_auto:eco,so_1.1/b2ff924c-2548-4263-94f2-e3e715f2a5e9/air-zoom-tempo-next-road-running-shoes-chNfdw.jpg"
144,28,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3ea7a9fc-2f19-448b-bc7d-30d9993fea55/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
145,28,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/796061fe-66d5-4130-821c-3732454868f8/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
146,28,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/35ed8304-425e-4365-aa21-afbb950835b1/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
147,28,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/0b420361-e489-447b-9c18-c83663c425e5/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
148,29,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/05ad6524-6041-4d11-82d9-feffe57b2e81/air-zoom-tempo-next-road-running-shoes-chNfdw.png"
